City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,praia da vitoria,38.7333,-27.0667,19.14,68,40,4.19,PT,1667760222
261,mahebourg,-20.4081,57.7,23.16,73,40,2.57,MU,1667760223
262,shache,38.4167,77.2406,7.6,34,88,0.68,CN,1667760223
263,matay,28.419,30.7792,20.48,34,1,2.1,EG,1667760223
264,houma,29.5958,-90.7195,31.11,77,0,3.09,US,1667760224
265,niquelandia,-14.4739,-48.4597,32.12,32,0,1.59,BR,1667760224
266,yumen,40.2833,97.2,1.12,39,16,4.08,CN,1667760225
267,port hawkesbury,45.6169,-61.3485,23.51,63,0,5.66,CA,1667760225
268,mount gambier,-37.8333,140.7667,11.0,89,5,1.72,AU,1667760226
269,yurino,56.2942,46.3039,-2.19,88,63,2.06,RU,1667760226
270,tahe,52.3333,124.7333,-10.26,94,11,1.57,CN,1667760226
271,hamilton,39.1834,-84.5333,22.07,49,0,5.66,US,1667760005
272,jalu,29.0331,21.5482,19.34,34,0,4.43,LY,1667760227
273,iquitos,-3.7481,-73.2472,33.02,49,40,2.06,PE,1667760228
274,payyannur,12.1,75.2,24.09,90,95,1.47,IN,1667760229
275,te anau,-45.4167,167.7167,7.23,83,68,1.11,NZ,1667760229
276,touros,-5.1989,-35.4608,27.78,65,19,6.39,BR,1667760230
277,russell,32.3502,-85.1999,31.09,61,20,0.0,US,1667760231
278,yulara,-25.2406,130.9889,24.04,18,100,5.18,AU,1667760232
279,alice springs,-23.7,133.8833,15.75,27,5,0.0,AU,1667760232
280,narsaq,60.9167,-46.05,3.12,92,100,1.3,GL,1667760233
281,clonakilty,51.6231,-8.8706,8.94,82,14,9.58,IE,1667760233
282,yanam,16.7333,82.2167,22.63,80,0,1.54,IN,1667760147
283,urusha,54.05,122.9,-13.76,97,31,0.91,RU,1667760234
284,la ronge,55.1001,-105.2842,-7.86,67,100,7.2,CA,1667760234
285,kodinsk,58.6881,99.1844,-2.88,95,100,1.48,RU,1667760234
286,san patricio,28.017,-97.5169,30.92,61,81,4.07,US,1667760235
287,bethanien,-26.502,17.1583,20.56,52,100,9.11,NA,1667760235
288,thompson,55.7435,-97.8558,-3.91,86,100,6.17,CA,1667760236
289,gobabis,-22.45,18.9667,25.17,31,100,2.52,NA,1667760236
290,maku,39.2911,44.4521,8.83,47,43,1.49,IR,1667760237
291,gimli,50.6336,-96.9907,3.01,70,100,7.2,CA,1667760237
292,pisco,-13.7,-76.2167,20.57,72,0,4.63,PE,1667760237
293,sungairaya,0.7,108.9,25.16,88,100,2.23,ID,1667760238
294,flin flon,54.7682,-101.865,-5.09,86,100,6.17,CA,1667760238
295,mantua,45.1667,10.7833,11.58,87,20,0.45,IT,1667760239
296,mangai,-4.05,19.5333,20.51,98,100,0.8,CD,1667760239
297,karlstad,59.3793,13.5036,7.31,94,100,3.6,SE,1667760240
298,borova,50.1763,30.1043,5.19,73,100,4.26,UA,1667760240
299,bardiyah,31.7561,25.0865,22.09,41,15,5.37,LY,1667760240
300,barmer,25.75,71.3833,26.01,28,100,3.26,IN,1667760241
